met_id	pat1_Control	pat2_Control	pat3_Control	pat30_Control	pat31_Control	pat32_Control	pat33_Control	pat34_Control	pat35_Control	pat36_Control	pat4_Control	pat5_Control	pat58_Control	pat59_Control	pat6_Control	pat60_Control	pat61_Control	pat63_Control	pat64_Control	pat65_Control	pat66_Control	pat8_Control	pat62_Control	pat7_Control	pat68_AKT1-high	pat75_AKT1-high	pat78_AKT1-high	pat79_AKT1-high	pat80_AKT1-high	pat82_AKT1-high	pat85_AKT1-high	pat12_AKT1-high	pat14_AKT1-high	pat17_AKT1-high	pat20_AKT1-high	pat22_AKT1-high	pat24_AKT1-high	pat26_AKT1-high	pat40_AKT1-high	pat41_AKT1-high	pat44_AKT1-high	pat47_AKT1-high	pat49_AKT1-high	pat54_AKT1-high	pat57_AKT1-high	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	METABOLON_ID	PLATFORM	KEGG_ID	HMDB_ID
met11	314065.24	4202057.3	1351865.72	2093441.06	83978.88	75315.51	1599800.87	964902.38	1812329.05	1332356.75	2460246.75	599768.03	2091895.86	850374.5	3478498.89	933757.24	206667.64	1005185.54	1515057.63	1441111.64	1472025.24	522313.91	2405533.35	4458714.03	2831428.68	930410.31	1184797.46	1350269.63	1732970.84	132680.56	2813642.54	1336280.98	1212504.47	1288866.4	2472220.45	1861702.51	2473856.86	1859825.45	1803487.68	313806.36	506262.53	1903365.8	3572542.46	904497.19	1928741.69	1-oleoylglycerophosphoethanolamine	Lipid	Lysolipid	35628	LC/MS neg	NA	HMDB11506
met12	18965.71	290551.25	70469.66	82775.52	NA	NA	76877.24	49361.63	56930.9	139646.1	25971.22	34672.55	75154.09	49648.8	56729.58	52995.12	NA	29795.65	36807.47	NA	43653.84	NA	107193.84	89429.45	178616.47	49746.1	70768.13	85866.56	139541.51	NA	NA	83581.78	53791.11	45588.24	79907.23	87878.69	81113.42	90113.6	45079.27	28287.52	32612.13	87952.53	151761.72	36240.34	78245.13	1-oleoylglycerophosphoinositol*	Lipid	Lysolipid	36602	LC/MS neg	NA	NA
met13	NA	159749.86	82931.43	48356.65	NA	44515.43	35560.1	48844.98	67965.03	196809.99	25799.16	29690.5	36633.03	19158.61	18116.06	49828.75	NA	32589.71	25964.36	NA	62721.37	33484.84	53260.07	NA	53287.2	66231.22	85630.27	75483.69	119127.62	42665.97	22644.85	62043.89	22943.46	34416.71	108202.47	20220.63	NA	78040.76	NA	30821.37	70574.79	60756.29	131563.47	39473.71	66664.27	1-oleoylglycerophosphoserine	Lipid	Lysolipid	19260	LC/MS neg	NA	NA
met14	26442.33	80834.64	56845.07	42078.07	NA	25879.7	NA	19024.26	52497.04	42121.11	47523.08	44065.21	95739.96	38295.98	73344.84	58035.2	NA	NA	NA	NA	55035.91	30544.26	124090.1	62207.15	NA	43487.56	NA	69169.26	43027.96	38138.47	174586.78	57770.67	49562.3	55152.89	63617.8	82915.86	74245.43	38413.1	53501.83	NA	23383.3	63699.65	69795.19	NA	74020.66	1-palmitoylglycerol (1-monopalmitin)	Lipid	Monoacylglycerol	21127	GC/MS	NA	NA
met15	2015731.54	1769602.74	376097.21	438366.63	923978.45	1442535.29	2761252.71	1410470.76	4196061.03	449538.9	2383473.86	246300.49	610491.41	5170438.73	12575496.41	2660921.61	315051.08	15141353.04	544951.27	1022519.55	1769602.74	400157.19	1765380.54	768050.47	1424519.83	134498.76	10452134.82	822320.58	2606497.56	281665.32	18291871.99	5920189.73	230812.6	599058.27	911341	625305.84	3214278	6950153.52	893880.72	2922900.76	2284171.86	2144449.9	278319.11	4890946.73	529972.51	1-palmitoylglycerophosphocholine	Lipid	Lysolipid	33955	LC/MS pos	C04102	NA
met16	561743.41	3072646.86	1893540.82	1857238.67	112403.79	69087.63	1942216.41	1257122.35	2005948.3	1837332.93	3409813.74	1153453.1	2574111.32	872471.18	5248471	1176084.35	298896.85	1146907.88	1968109.07	1787967.03	2108111.4	941621.25	2568121.7	5379576.73	2297954.24	1183926.85	1429085.43	1951335.33	1387029.49	93574.57	2188391.26	1750747.12	1896918.92	2687005.07	3342056.24	2541553.94	3292972.78	740353.21	2420730.17	794831.91	759579.93	1936077.98	3755614.63	1418380.73	2350116.28	1-palmitoylglycerophosphoethanolamine	Lipid	Lysolipid	35631	LC/MS neg	NA	HMDB11503
met17	49666.14	337987.82	105768.94	80629.59	22334.69	21455.5	99383.26	75050.59	67194.94	292292.12	99065.26	37640.11	85350.14	106698.48	141940.83	93366.28	NA	41013.75	71110.6	62947.22	44323.29	35964.62	165761.54	108066.91	105312.26	64374.8	104777.67	106225.62	90931.03	24533.75	61058.27	103706.35	54504.61	193981.4	141875.96	485810.51	117263.4	61637.2	68680.75	42239.64	30296.81	87514.66	249437.76	51151.29	116860.25	1-palmitoylglycerophosphoinositol*	Lipid	Lysolipid	35305	LC/MS neg	NA	NA
met18	17794.1	57001.22	50912.44	30346.99	NA	NA	NA	NA	26085.62	36167.54	44308.68	NA	NA	48355.45	44665.62	52734.72	11209.45	NA	NA	20434.46	18488.85	29688.96	67869.76	40433.47	43730	26249.1	NA	NA	NA	NA	NA	36865.47	31692.94	54219.49	33352.11	47557.63	45846.75	20205.16	30172.89	NA	NA	48408.74	52339.18	41083.78	43392.89	1-stearoylglycerol (1-monostearin)	Lipid	Monoacylglycerol	21188	GC/MS	D01947	NA
met19	541014.34	843059.65	233879.36	NA	653693.75	893940.82	806976.23	301601.42	1103018.92	138758.02	851932.67	NA	238607.59	3179198.03	6167244.9	1043294.94	350061.86	9953220.47	374962.06	634035.67	657622.11	175230.14	597068.37	214829.88	464553.82	NA	5173736.11	232206.86	1506700.5	NA	9542015.63	2290066.06	NA	165214	218602.88	140018.01	953319.31	2136752.89	241892.14	1462110.53	1021292.15	554599.22	NA	1719828.58	215447.3	1-stearoylglycerophosphocholine	Lipid	Lysolipid	33961	LC/MS pos	NA	NA
met20	713856.3	5808627.7	1945259.5	2542532.7	224030.2	156628.8	2501808	1546816.6	2023656.7	2569058.7	3745006.9	1410788.1	3535200.4	1452372.1	6104049.6	1846110.9	513288.3	1783708.3	2439478.8	2472761.6	3067515.2	1189169.4	3710457.6	4906817.8	3641703.3	1781505	2266445.4	2106180.6	2330046.8	378072	4006401	2660186.5	2500715.5	3551371.4	3788066.4	3327045.5	4101766.1	1203863.2	3515377.3	1161348.7	867842.9	2389934.9	4888926.5	1276329.4	3833327.8	1-stearoylglycerophosphoethanolamine	Lipid	Lysolipid	34416	LC/MS neg	NA	HMDB11130
met21	190016.88	945484.9	367246.2	411369.88	117837.55	268783.75	453086.58	408136.11	438040.3	1966656.79	278010.9	150299.01	232356.12	528103.67	400834.05	388849.67	74130.64	141363.85	241865.08	303123.25	143220.1	222078.06	727670.89	243743.46	350089.58	201813.49	495483.72	327177.39	664630.04	132739.08	445563.44	494662.12	233623.2	623673.39	398437.43	477952.94	366226.39	211133.17	290011.56	272626.81	331253.84	773383.8	1178666.29	166997.81	564844.2	1-stearoylglycerophosphoinositol	Lipid	Lysolipid	19324	LC/MS neg	NA	NA
met22	36658.25	69165.37	430558.95	92680.72	502272.74	610589.52	670101.37	666029.46	515463.82	NA	796852.54	911806.16	860012.85	106363.33	487321.78	709281.15	909255.12	366776.58	647469.59	650670.6	579223.09	596580.39	351223.98	791793.93	991558.9	699348.69	512246.12	538210.53	943990.52	379334.23	111823.14	391586.03	765095.64	614876.66	758481.78	658346.8	320370	27595.34	631586.63	521909.24	964309.99	367132.17	598360.49	103709.59	265288.6	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	20675	GC/MS	C07326	HMDB02712
met23	NA	NA	NA	NA	NA	NA	24363.35	NA	33169.67	NA	NA	NA	NA	NA	NA	35302.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22230.21	NA	NA	NA	NA	38731.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1,7-dimethylurate	Xenobiotics	Xanthine metabolism	34400	LC/MS neg	C16356	HMDB11103
met24	230204.5	579198.9	217829.2	470411.8	321508.8	279212.2	196342.1	188731.3	369217.9	486368.5	263673.3	416357.6	248977	364517.4	195654.4	292026.7	334067.4	214486.3	222134.1	284690.7	393883.6	355619.9	258692.8	258236.3	382157	355800.5	358636.6	197508.8	373431	289048.7	425196.2	466362.6	452036	325006.3	364517.4	333546.6	366555	476336.6	301428.7	521087.6	251001.5	442107.2	318749.2	552373.8	326701.4	10-heptadecenoate (17:1n7)	Lipid	Long chain fatty acid	33971	LC/MS neg	NA	NA
met25	NA	392810.52	79059.57	248427.58	NA	35836.8	86198.99	104837.38	119892.85	194084.76	68279.28	83793.65	81959.75	169631.16	47004.84	100302.02	43284.15	48400.06	72149.22	75526.84	67853.38	89838	113266.23	71971.51	313728.59	89156.23	126956.33	84218.73	449678.96	93135.22	691174.68	321005.22	219098.72	110358.1	101208.88	107681.64	187074.56	547531.25	67351.18	83062.55	73389.4	403995.06	161026.52	111856.64	232546.59	10-nonadecenoate (19:1n9)	Lipid	Long chain fatty acid	33972	LC/MS neg	NA	NA
met26	66208.19	76512.09	27789.52	72569.66	35747.67	21780.91	41942.49	25355.28	72820.29	129543.59	NA	30526.18	16873.02	37174.28	NA	21600.79	18479.02	NA	NA	21716.18	16071.61	NA	26519.67	23203.42	16482.18	16394.71	85171.7	NA	40473.1	NA	136686.59	38547.89	NA	NA	NA	35800.67	27297.93	69794.13	19245.59	24609.84	NA	26843.71	NA	49348.97	18026.9	13-HODE + 9-HODE	Lipid	Fatty acid, monohydroxy	37752	LC/MS neg	NA	NA
met27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2'-deoxyinosine	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	15076	LC/MS neg	C05512	HMDB00071
met28	50617.85	192047.76	296397.83	188999.64	255794.27	94668.55	249664.71	291510.89	349467.73	223774.01	189567.85	201805.04	292983.59	200546.65	276402.97	224174.84	114062.22	245253.83	673852.72	607282.88	263511.24	335153.08	383437.82	421016.85	788038.01	298714.73	615193.71	530369.78	349467.73	271820.58	320336.67	453948.04	349467.73	384749.21	430732.08	489321.33	564934.72	66556.21	228954.62	314416.78	219052.84	503914.86	527798.09	355504.98	516010.58	2-aminoadipate	Amino acid	Lysine metabolism	6146	LC/MS pos	C00956	HMDB00510
met29	35865.25	274033.88	891256.34	713551.52	832799.58	511567.73	599941.43	1029111.76	1030578.8	519645.74	930708.64	794029.2	905709.25	166983.89	519017.98	809838.01	872425.32	516356.27	1055500.17	1009459.1	1306371.68	873388.8	808864.72	799103.39	952515.95	1216458.92	484571.99	898366.99	1974181.96	577704.39	274789.16	666528.87	976851.83	948925.51	1230632.02	689280.12	1296884.06	181870.9	1334818.95	853228.76	NA	920340.64	1479261.36	349944.45	892247.21	2-aminobutyrate	Amino acid	Butanoate metabolism	1577	GC/MS	C02261	HMDB00650
met30	82850.43	62022.47	44739.31	51397.01	220366.18	798588.31	154396.32	58589.35	416550.59	37501.51	152280.48	NA	NA	633064.87	235471.98	200689.92	47598.17	651009.09	44310.27	61638.1	162961.74	66629.08	97956.95	58635.78	54545.13	NA	569977.4	36263.14	247945.79	132803.27	478439.2	407500.8	32598.44	NA	54822.08	NA	145203.3	113071.51	45596.07	235033.09	699276.49	124319.59	NA	169015.85	37528.68	2-arachidonoylglycerophosphocholine*	Lipid	Lysolipid	35256	LC/MS pos	NA	NA
met31	845608.41	335249.38	215745.88	219961.16	908651.7	3000541.44	543269.41	467001.03	2046698.23	321408.95	896395.67	204358.94	365360.37	2126575.96	1012156.26	712811.63	212477.61	2721226.11	321757.38	289830.06	540346.55	325765.53	401070.12	226079.57	305503.83	240223.94	2206273.23	139546.65	682748.61	397643.02	1673321.6	1838571.77	84155.35	121738.05	251265.01	151010.66	968652.95	540346.55	213365.66	1073168.89	2350590.66	579652.43	150872.84	896356.23	153260.38	2-arachidonoylglycerophosphoethanolamine*	Lipid	Lysolipid	34656	LC/MS pos	NA	NA
met32	378820.53	117789.88	NA	60946.43	275544.41	678414.05	101271.71	104770.05	481959.13	NA	250622.76	42223.93	96923.48	697811.86	287750.24	332870.51	NA	691799.98	NA	110167.12	155380.22	145879.94	125820.59	56054.73	50722.31	91899.44	651514.09	NA	252539.54	NA	820722.88	918326.98	15817.05	NA	72903.46	33255.76	245701.96	245890.3	58381.39	312268.67	584593.72	209009.15	NA	213027.47	41352.06	2-docosahexaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	34258	LC/MS pos	NA	NA
met33	73052.37	NA	NA	NA	76372.1	477185.54	56908.19	35225.53	322948.87	NA	40940.61	NA	NA	115663.73	57366.32	52215.57	NA	92132.29	NA	NA	NA	NA	NA	NA	26574.02	NA	140529.46	NA	NA	26132.69	118055.23	172161.78	NA	NA	NA	NA	119054.41	45332.13	34080.32	72162.6	291886.32	76021.27	NA	156202.93	NA	2-docosapentaenoylglycerophosphoethanolamine*	Lipid	Lysolipid	34875	LC/MS pos	NA	NA
met34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	896807.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2-ethylhexanoate	Xenobiotics	Chemical	1554	GC/MS	NA	NA
met35	NA	NA	40552.06	NA	NA	244520.45	40552.06	NA	NA	NA	63957.28	NA	NA	NA	NA	NA	NA	14858.99	NA	NA	NA	NA	NA	NA	81179.19	NA	NA	NA	NA	NA	NA	NA	20889.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug	33173	LC/MS neg	NA	NA
met36	NA	NA	264793.03	387586.43	757413.18	295754.89	287996.64	916704.57	792452.44	279114.32	375129.6	250854.84	459757.06	108703.79	573342.88	719405.61	657224.14	398823	492907.34	297630.8	992697.98	579815.27	672488.66	548306.22	340812.61	668418.53	307787.16	385604.12	1389538.41	365399.01	115174.77	424868.81	270594.91	556701.49	585580.08	296427.85	482621.96	NA	655191.58	398823	672948.25	417826.49	645602.83	156878	305570.25	2-hydroxybutyrate (AHB)	Amino acid	Cysteine, methionine, SAM, taurine metabolism	21044	GC/MS	C05984	HMDB00008
met37	12955.34	18612.83	87546.42	75833.41	50353.88	49357.14	131817.17	85466.44	149338.92	79943.36	113710.51	92487.98	170135.98	NA	231597.8	179807.08	71736.75	107527.67	148837.31	151169.39	152830.39	70362.31	316135.48	401226.07	199545.29	57719.22	97306.6	92532.29	81042.74	24555.27	95423.35	75147.91	113588.21	94253.92	157058.97	72584.79	127482.34	11642.25	183249.78	87105.02	55324.66	94209.52	335579.73	68794.72	53935.26	2-hydroxyglutarate	Lipid	Fatty acid, dicarboxylate	37253	GC/MS	C02630	HMDB00606
met38	NA	NA	NA	NA	NA	17817.26	48089.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate metabolism	18281	LC/MS neg	C07588	HMDB00840
met39	63101.41	174509.32	69626.73	115095.26	178807.3	69056.57	82721.98	105666.21	73012.5	82070.98	96300.59	136251.36	68122.57	228148.59	77980.73	115711.71	94461.6	47134.58	46248.16	50486.25	74382.59	116646.55	56623.22	42825.25	66167.84	122822.14	327870.35	59033.62	252314.74	99186.2	125525.08	407331.85	154023.79	72324.72	63062.85	68165.54	110276.34	78737.32	106884.52	125868.7	106416.22	179463.68	91483.52	50571.44	73961.67	2-hydroxypalmitate	Lipid	Fatty acid, monohydroxy	35675	LC/MS neg	NA	NA
met40	NA	65085.76	20815.32	40162.09	60363.15	18895.73	46504.87	49233.93	36998.2	40847.84	17626.18	33773.96	NA	97651.38	NA	17208.61	NA	NA	NA	NA	NA	NA	NA	NA	27301.12	22986.31	127585.01	NA	220053.32	17847.43	103222.24	147487.52	87773.48	28609.01	NA	29390.26	53550.91	14974.91	29428.67	39485.54	64332.65	115698.58	46877.29	23633.09	NA	2-hydroxystearate	Lipid	Fatty acid, monohydroxy	17945	LC/MS neg	C03045	NA
met41	48675.12	151633.65	NA	45435.78	94171.57	79548.06	57094.88	48698.32	209087.14	NA	80589.88	NA	NA	127494.07	158962.67	48898.73	NA	125641.7	NA	NA	NA	NA	NA	NA	69722.79	NA	192116.6	NA	91804.74	NA	719717.28	177668.38	NA	NA	NA	NA	69284.26	151964	NA	167505.18	283621.06	81863.54	31181.4	210656.46	NA	2-linoleoylglycerophosphocholine*	Lipid	Lysolipid	35257	LC/MS pos	NA	NA
met42	NA	NA	NA	NA	NA	82428.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug	33178	LC/MS neg	NA	NA
met43	NA	211662.76	80576.89	60750.52	120875.99	44631.15	137811.28	202875.95	106877.07	122288.22	74637.21	85399.4	227857.82	95824.59	112046.78	293813.04	76820.87	42816.22	344897.8	115536.36	118126.09	101072.01	222465.57	207340.24	158403.98	194234.91	89144.01	70357.67	184498.57	119550.25	66902.3	187205.57	120369.06	156049.58	264690.88	55254.38	326297.16	NA	143912.47	57529.47	118218.59	358029.67	727962.09	103185.62	183609.41	2-methylbutyroylcarnitine	Amino acid	Valine, leucine and isoleucine metabolism	35431	LC/MS pos	NA	HMDB00378
met44	NA	NA	NA	NA	NA	221763.34	108367.68	31672.25	268105.06	NA	61692.05	49978.42	NA	357209.72	231606.94	113508	NA	256779.6	NA	NA	53328.13	NA	NA	NA	45149.35	NA	375311.81	NA	115014.87	NA	NA	521288.42	52741.98	NA	38543.56	NA	205775.56	450924.33	NA	NA	234238.6	NA	NA	191513.74	NA	2-oleoylglycerophosphocholine*	Lipid	Lysolipid	35254	LC/MS pos	NA	NA
met45	NA	211475.06	114806.93	177024.63	NA	NA	116925.18	111267.53	163380.7	113905.76	166850.21	45083.6	193596.38	85354.63	260878.15	76735.28	26136.84	99917.51	119998.2	138551.69	131885.29	48727.19	199234.82	360622.95	258735.64	87379.31	109191.86	121865.53	177258.51	15641.19	234713.18	132616.77	101373.35	89139.92	181658.1	144928.66	179375.67	142185.86	147648.6	37679.91	36374.68	185314.36	285964.17	65389.05	158770.91	2-oleoylglycerophosphoethanolamine*	Lipid	Lysolipid	35687	LC/MS neg	NA	NA
met46	NA	167526.87	2020111.95	70176.56	NA	NA	244340.59	94542.56	NA	NA	141361	46097.56	529219.96	52936.77	4360263.88	165622.04	NA	NA	129350.54	1269742.51	NA	48474.08	2147817.29	192907.44	334337.58	NA	169598.54	670892.86	NA	NA	133840.22	NA	71145.47	453901.71	90508.79	1671129.1	NA	59978.89	444949.15	NA	NA	NA	360160.74	58497.5	68148.7	2-palmitoylglycerol (2-monopalmitin)	Lipid	Monoacylglycerol	33419	GC/MS	NA	NA
met47	164132.65	129974.72	125727.49	NA	119062.82	244432.85	123226.77	90473.63	308717.23	NA	187653.02	NA	NA	251776.74	1613389.38	105520.56	NA	728484.9	NA	NA	58221.5	NA	NA	73300.41	41025.64	NA	346765.12	NA	119037.25	NA	787639	317122.51	NA	NA	54435.33	NA	201594.68	440003.41	53763.69	226645.96	239493.42	88826.63	NA	288833.21	45279.16	2-palmitoylglycerophosphocholine*	Lipid	Lysolipid	35253	LC/MS pos	NA	NA
met48	19599.82	425668.74	75858.09	163590.53	242463.39	153293.08	270197.3	403509.42	164401.32	163004.1	384626.63	346475.92	388466.5	113775.79	502370	156800.18	32825.63	175809.61	311352.37	291308.4	301681	71155.46	393137.91	598357.49	346533.25	169553.65	209061.29	283684.68	219447.32	NA	290870.72	253181.63	287277.7	215897.61	403463.31	171439.51	370858.68	NA	582891.95	37827.86	42340	218987.68	435029.1	NA	489001.3	2-palmitoylglycerophosphoethanolamine*	Lipid	Lysolipid	35688	LC/MS neg	NA	NA
met49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3'-dephosphocoenzyme A	Cofactors and vitamins	Pantothenate and CoA metabolism	18289	LC/MS neg	C00882	HMDB01373
met50	NA	NA	NA	NA	26342	NA	NA	25496.4	NA	NA	16801.98	16345.69	16155.61	NA	40210.24	26315.57	22670.05	NA	20407.12	NA	16781.26	24495.36	16349.43	NA	NA	16857.7	NA	18481.36	24505.63	14701.68	NA	37294.88	16166.86	51377.28	NA	21216.42	28414.18	NA	22574.95	NA	NA	18981.36	22251.05	NA	20394.83	3-(4-hydroxyphenyl)lactate	Amino acid	Phenylalanine & tyrosine metabolism	32197	LC/MS neg	C03672	HMDB00755
met51	NA	NA	24708.821	NA	NA	41766.523	3590.777	NA	NA	NA	21794.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29171.542	NA	NA	NA	NA	NA	NA	NA	NA	17514.968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug	34365	LC/MS pos	NA	NA
